"Input","(1) sumArray","(2) sumDoubleStream","(3) sumDoubleStreamP","(4) sumStream","(5) sumStreamP",
"1000000 transactions","0,014806","0,011167","0,009183","0,028905","0,021365",
"2000000 transactions","0,021788","0,021629","0,016812","0,061124","0,039403",
