"Input","(1) sumStreamP","(2) byDateStreamP","(3) sortList","(4) biggestTransaction8",
"1000000 transactions","0,014094","1,664687","0,844504","0,020016",
"2000000 transactions","0,028293","3,817031","1,939572","0,035174",
"4000000 transactions","0,054420","8,699993","4,425399","0,068976",
"8000000 transactions","0,108938","19,293742","9,910055","0,138288",
