"Input","(1) byDateStream","(2) sortList","(3) biggestTransaction8","(4) ivaStream",
"1000000 transactions","2,487266","1,074664","0,021984","0,098529",
"2000000 transactions","4,158751","2,207813","0,048276","0,223570",
